Date,Log
2018-07-07 01:59:33.125980,Commencing Fragmentation: Kino no Tabi- The Beautiful World Episode 5
2018-07-07 02:35:59.036041,Commencing Fragmentation: Kino no Tabi- The Beautiful World Episode 6
2018-07-07 03:02:09.040662,Commencing Fragmentation: Kino no Tabi- The Beautiful World Episode 7
2018-07-07 03:27:01.597033,Commencing Fragmentation: Kino no Tabi- The Beautiful World Episode 8
2018-07-07 03:52:23.498083,Save Completed.
2018-07-07 04:01:43.383740,Commencing Fragmentation: Kino no Tabi- The Beautiful World Episode 9
2018-07-07 04:34:47.758776,Commencing Fragmentation: Kino no Tabi- The Beautiful World Episode 10
2018-07-07 05:11:28.370643,Commencing Fragmentation: Kino no Tabi- The Beautiful World Episode 11
2018-07-07 06:04:25.050362,1 World selected.
2018-07-07 06:05:36.085667,UQ Holder! OVA Installed on OUTER SAPIENTIA.
2018-07-07 06:05:38.109104,1 World selected.
2018-07-07 06:05:39.111835,Please select a world to Combine with.
2018-07-07 06:05:51.236423,1 World succesfully combined into UQ Holder!- Mahou Sensei Negima! 2.
2018-07-07 06:06:03.550161,1 World selected.
2018-07-07 06:06:11.530828,Save Completed.
2018-07-07 15:21:11.536355,Aru Zombie Shoujo no Sainan Installed on OUTER SAPIENTIA.
2018-07-07 15:21:24.541307,1 World selected.
2018-07-07 15:21:28.533365,Save Completed.
2018-07-10 16:41:54.700821,Kino no Tabi- The Beautiful World conquered.
2018-07-10 16:41:57.703951,Save Completed.
2018-07-10 16:42:46.866859,Kino no Tabi- The Beautiful World - The Animated Series added to Fragmentations List.
2018-07-10 16:43:15.856697,Dog Days added to Fragmentations List.
2018-07-10 17:26:30.798619,Commencing Fragmentation: Kino no Tabi- The Beautiful World - The Animated Series Episode 1
2018-07-10 17:26:30.798619,Selected Fragment is unavailable.
2018-07-10 17:26:31.793324,Ready to materialize (mp4): Kino no Tabi- The Beautiful World - The Animated Series Episode 1
2018-07-10 17:26:43.799218,Copied World: Kino no Tabi- The Beautiful World - The Animated Series
2018-07-10 17:28:52.824200,Jashin-chan Dropkick Installed on AMORPHOUS SAPIENTIA.
2018-07-10 17:29:46.854294,Ready to materialize (mp4): Jashin-chan Dropkick Episode 1
2018-07-10 17:40:42.441427,Hataraku Saibou Installed on AMORPHOUS SAPIENTIA.
2018-07-10 17:42:22.661137,Ready to materialize (mp4): Hataraku Saibou Episode 1
2018-07-10 17:43:45.645770,Asobi Asobase Installed on AMORPHOUS SAPIENTIA.
2018-07-10 17:44:06.664157,Ready to materialize (mp4): Asobi Asobase Episode 1
2018-07-10 17:44:13.652293,Copied World: Asobi Asobase
2018-07-10 17:46:02.741319,Ready to materialize (mp4): Asobi Asobase Episode 1
2018-07-10 19:10:16.488977,Save completed.
2018-07-11 21:30:00.121663,Save completed.
2018-07-11 22:08:09.349063,Save completed.
2018-07-11 23:56:26.802003,Save completed.
2018-07-12 04:22:18.139587,Save completed.
2018-07-12 16:59:16.412367,Save completed.
2018-07-12 17:08:59.300730,Save completed.
2018-07-12 18:39:11.444115,Commencing Fragmentation: Violet Evergarden Episode 14
2018-07-12 18:39:11.444115,Selected Fragment is unavailable.
2018-07-12 18:39:12.443814,Ready to materialize (mp4): Violet Evergarden Episode 14
2018-07-12 18:42:35.076343,Neko Hiki no Ororane Installed on OUTER SAPIENTIA.
2018-07-12 18:43:33.442386,Save completed.
2018-07-12 20:48:01.666477,Arrange Completed.
2018-07-12 20:53:43.385159,Commencing Fragmentation: Kino no Tabi- The Beautiful World - The Animated Series Episode 2
2018-07-12 21:34:01.196136,Save completed.
2018-07-12 21:56:26.833332,Commencing Fragmentation: Kino no Tabi- The Beautiful World - The Animated Series Episode 3
2018-07-12 22:52:08.913361,Commencing Fragmentation: Kino no Tabi- The Beautiful World - The Animated Series Episode 4
2018-07-12 22:53:01.980357,Copied World: Kino no Tabi- The Beautiful World - The Animated Series
2018-07-12 23:33:40.153716,Save completed.
2018-07-13 00:19:22.782160,Miss Monochrome- The Animation Installed on OUTER SAPIENTIA.
2018-07-13 00:20:00.993055,Save completed.
2018-07-13 00:27:48.983883,Commencing Fragmentation: Kino no Tabi- The Beautiful World - The Animated Series Episode 5
2018-07-13 01:00:11.455806,Commencing Fragmentation: Kino no Tabi- The Beautiful World - The Animated Series Episode 6
2018-07-13 01:08:41.239480,Copied World: Kino no Tabi- The Beautiful World - The Animated Series
2018-07-13 02:18:52.873291,Save completed.
2018-07-13 02:19:38.963888,Commencing Fragmentation: Hataraku Saibou Episode 1
2018-07-13 03:15:51.802587,1 World selected.
2018-07-13 03:16:16.836969,Copied World: Kekkai Sensen & Beyond
2018-07-13 03:16:30.324728,Kekkai Sensen & Beyond OVA Episode 1 Installed.
2018-07-13 03:16:35.452082,Kekkai Sensen & Beyond OVA Episode 2 Installed.
2018-07-13 03:16:41.441349,Save completed.
2018-07-13 04:23:56.485592,Commencing Fragmentation: Kino no Tabi- The Beautiful World - The Animated Series Episode 7
2018-07-13 04:49:24.946257,Save completed.
2018-07-13 05:36:33.446663,Commencing Fragmentation: Kino no Tabi- The Beautiful World - The Animated Series Episode 8
